"Município";"cod_ibge"
"Amparo do São Francisco";2800100
"Aquidabã";2800209
"Aracaju";2800308
"Arauá";2800407
"Areia Branca";2800506
"Barra dos Coqueiros";2800605
"Boquim";2800670
"Brejo Grande";2800704
"Campo do Brito";2801009
"Canhoba";2801108
"Canindé de São Francisco";2801207
"Capela";2801306
"Carira";2801405
"Carmópolis";2801504
"Cedro de São João";2801603
"Cristinápolis";2801702
"Cumbe";2801900
"Divina Pastora";2802007
"Estância";2802106
"Feira Nova";2802205
"Frei Paulo";2802304
"Gararu";2802403
"General Maynard";2802502
"Graccho Cardoso";2802601
"Ilha das Flores";2802700
"Indiaroba";2802809
"Itabaiana";2802908
"Itabaianinha";2803005
"Itabi";2803104
"Itaporanga D'Ajuda";2803203
"Japaratuba";2803302
"Japoatã";2803401
"Lagarto";2803500
"Laranjeiras";2803609
"Macambira";2803708
"Malhada dos Bois";2803807
"Malhador";2803906
"Maruim";2804003
"Moita Bonita";2804102
"Monte Alegre de Sergipe";2804201
"Muribeca";2804300
"Neópolis";2804409
"Nossa Senhora Aparecida";2804458
"Nossa Senhora da Glória";2804508
"Nossa Senhora das Dores";2804607
"Nossa Senhora de Lourdes";2804706
"Nossa Senhora do Socorro";2804805
"Pacatuba";2804904
"Pedra Mole";2805000
"Pedrinhas";2805109
"Pinhão";2805208
"Pirambu";2805307
"Poço Redondo";2805406
"Poço Verde";2805505
"Porto da Folha";2805604
"Propriá";2805703
"Riachão do Dantas";2805802
"Riachuelo";2805901
"Ribeirópolis";2806008
"Rosário do Catete";2806107
"Salgado";2806206
"Santa Luzia do Itanhy";2806305
"Santana do São Francisco";2806404
"Santa Rosa de Lima";2806503
"Santo Amaro das Brotas";2806602
"São Cristóvão";2806701
"São Domingos";2806800
"São Francisco";2806909
"São Miguel do Aleixo";2807006
"Simão Dias";2807105
"Siriri";2807204
"Telha";2807303
"Tobias Barreto";2807402
"Tomar do Geru";2807501
"Umbaúba";2807600
